OKJ,Oakland,54420,42181
EMY,Emeryville,53520,41484
SFC,San Francisco,52320,40554
SJC,San Jose,48120,37298
SNS,Salinas,44520,34508
KGC,King City,41520,32183
PRB,Paso Robles,35520,27532
SLO,San Luis Obispo,31680,24555
GVB,Grover Beach,30480,23625
SAT,Santa Maria,30420,23579
GUA,Guadalupe-Santa Maria,29520,22881
LPS,Lompoc,28580,22300
SLV,Solvang,28320,21951
BUL,Buellton,25520,21486
GTA,Goleta,23280,18545
SBA,Santa Barbara,23820,18463
CPN,Carpinteria,21540,16696
VEC,Ventura,19680,15254
OXN,Oxnard,18600,14417
CML,Camarillo,17820,13812
MPK,Moorpark,16980,13161
SIM,Simi Valley,15960,12371
CWT,Chatsworth,15240,11813
NRG,Northridge,14880,11534
VNC,Van Nuys,14280,11069
BUR,Hollywood Burbank Airport,13800,10697
BBK,Burbank-Downtown,13500,10464
GDL,Glendale,13080,10138
LAX,Union Station,12060,9348
FUL,Fullerton,8760,6790
ANA,Anaheim,8280,6418
SNA,Santa Ana,7560,5860
IRV,Irvine,6900,5348
SNC,San Juan Capistrano,6120,4744
SNP,San Clemente Pier,5340,4139
OSD,Oceanside,3540,2744
SOL,Solana Beach,2640,2046
OLT,Old Town San Diego,780,605
SAN,Downtown San Diego,0,0
